file,offset,bytes,japanese,english
08178.pak1,0x33D,20,-アイス・レクイエム-,-Ice Requiem-
08179.pak1,0x292,16,-デスジャケット-,-Death Jacket-
08180.pak1,0x8E9,16,スフィアスパーク,Sphere Spark
08180.pak1,0x964,16,スパークヴォルト,Spark Volt
08180.pak1,0x987,18,-シールドブレイク-,-Shield Break-
08180.pak1,0x9A2,16,エマージェンシー,Emergency
08182.pak1,0x8CF,6,雷破斬,Bolt
08182.pak1,0x8F8,6,瞬雷刃,Flash
08183.pak1,0x382,8,二の太刀,2nd Cut
08183.pak1,0x3AB,8,三の太刀,3rd Cut
08183.pak1,0x3CD,8,四の太刀,4th Cut
08183.pak1,0x3EF,6,五輪斬,5 Ring
08183.pak1,0x45A,12,抜刀・裂衝牙,Rending Fang
08183.pak1,0x474,14,心眼・無の太刀,Mind's Eye Cut
08183.pak1,0x4AB,18,心眼・無の太刀・連,Mind's Eye Chain
08184.pak1,0x659,12,アクアブレス,Aqua Breath
08184.pak1,0x678,14,ハイドロブレス,Hydro Breath
08184.pak1,0x69A,14,バブルブラスト,Bubble Blast
08186.pak1,0x6C3,12,レーザーアイ,Laser Eye
08186.pak1,0x6E5,14,スクリューアイ,Screw Eye
08186.pak1,0x701,20,スピリッツローブロー,Spirits Low Blow
08186.pak1,0x726,18,ジョープレッシャー,Jaw Pressure
08187.pak1,0x703,18,スナイパーストーム,Sniper Storm
08188.pak1,0x2A5,26,「縮こまってんじゃねえ！」,Quit cowering!
08188.pak1,0x2CD,28,「男に後退の二文字はねえ！」,Real men never retreat!
08188.pak1,0x355,26,-ポイゾニック・フィールド-,-Poisonic Field-
08188.pak1,0x374,34,「アイテムなぞ使ってんじゃねえ！」,Don't you dare use items!
08188.pak1,0x3A4,24,「軟弱者は消えうせろ！」,"Weaklings, begone!"
08189.pak1,0x3C3,28,フィールド・オブ・エフェクト,Field of Effect
08189.pak1,0x3F7,16,－アイスバーン－,-Ice Burn-
08189.pak1,0x40C,28,フィールド・オブ・エフェクト,Field of Effect
08189.pak1,0x43C,16,－マッドプール－,-Mud Pool-
08189.pak1,0x451,28,フィールド・オブ・エフェクト,Field of Effect
08189.pak1,0x481,20,－マインドウィルス－,-Mind Virus-
08190.pak1,0x5C7,18,アフターカーニバル,After Carnival
08190.pak1,0x625,12,デスクラッチ,Death Clutch
08190.pak1,0x656,22,シーチキンプレッシャー,Sea Chicken Pressure
08191.pak1,0x76B,18,-スナイプ・リング-,-Snipe Ring-
08191.pak1,0x796,22,-ウィズダム・クラウン-,-Wisdom Crown-
08191.pak1,0x7C5,20,-ベルセルク・ソード-,-Berserk Sword-
08191.pak1,0x7F2,22,-アジリティ・クロース-,-Agility Cloth-
08191.pak1,0x900,14,ストラグネイト,Stagnate
08192.pak1,0x36A,30,「俺の背後に立つんじゃねえ！」,Don't stand behind me!
08192.pak1,0x3F5,26,-ポイゾニック・フィールド-,-Poisonic Field-
08192.pak1,0x414,34,「アイテムなぞ使ってんじゃねえ！」,Don't you dare use items!
08193.pak1,0x72A,22,ジェノサイドブレイバー,Genocide Braver
08193.pak1,0x792,6,斬空断,Aircut
08193.pak1,0x7AC,6,裂砕断,Crush
08193.pak1,0x7D7,22,これぞ我が奥義・三連殺,My secret: Triple Kill
08193.pak1,0x7F2,26,「術に頼るかザコどもが！」,"Relying on artes, trash?"
08193.pak1,0x81A,26,「いつまで術に頼るか！！」,Still leaning on artes?!
08193.pak1,0x842,32,「回復晶術だと？貧弱過ぎるわ！」,Healing artes? How feeble!
08194.pak1,0x186,18,-ウィズダムロッド-,-Wisdom Rod-
08195.pak1,0x702,22,アディショナルレーザー,Additional Laser
08196.pak1,0x4FD,14,ビーストロアー,Beast Roar
08196.pak1,0x525,16,ドラゴンキャノン,Dragon Cannon
08196.pak1,0x56E,14,スネークバイト,Snake Bite
08196.pak1,0x5DA,18,スピリッツリバース,Spirits Reverse
08196.pak1,0x614,22,「情けをかけてやろう」,I shall show mercy.
08196.pak1,0x642,22,「貴様の＜時＞を頂く」,Your time is mine.
08196.pak1,0x667,30,「苦しむヒマを与えぬも慈悲か」,No time to suffer. A mercy.
08196.pak1,0x69D,22,エンチャント・ダメージ,Enchant Damage
08196.pak1,0x6FD,36,「リザレクション・・？退屈な奴らだ」,Resurrection...? How tiresome.
08196.pak1,0x77E,22,私の背後に立つな・・・,Never stand behind me.
08198.pak1,0x5F1,14,メギドフレイム,Megiddo Flame
08198.pak1,0x638,24,-トム・ティット・トット-,-Tom Tit Tot-
08198.pak1,0x667,20,-ファウル・ウェザー-,-Foul Weather-
08198.pak1,0x68A,12,メルトダウン,Meltdown
08198.pak1,0x6AB,18,カウンタ・マジック,Counter Magic
08201.pak1,0x1D0,18,-ショックスパイク-,-Shock Spike-
08207.pak1,0x579,14,ダークスフィア,Dark Sphere
08207.pak1,0x593,18,カウンタ・マジック,Counter Magic
08207.pak1,0x5C2,16,-ヴェノムバイト-,-Venom Bite-
08351.pak1,0x55E,14,セカンド・サン,Second Sun
08352.pak1,0x55E,14,セカンド・サン,Second Sun
08360.pak1,0x1FC,8,ピコハン,Pikohan
08361.pak1,0x1FC,8,ピコハン,Pikohan
08362.pak1,0x1FC,8,ピコハン,Pikohan
08376.pak1,0x31D,4,流水,Flow
08377.pak1,0x31D,4,流水,Flow
08378.pak1,0x31D,4,流水,Flow
08381.pak1,0x2F7,12,フルフラット,Full Flat
08382.pak1,0x2F7,12,フルフラット,Full Flat
08394.pak1,0x2FC,6,-竜脈-,-Vein-
08395.pak1,0x2FC,6,-竜脈-,-Vein-
08440.pak1,0x264,16,タイラントメイス,Tyrant Mace
08441.pak1,0x264,16,タイラントメイス,Tyrant Mace
08442.pak1,0x264,16,タイラントメイス,Tyrant Mace
