id	t0	speed	height	segments	japanese	english
0	137.715	48.127	17	38-111	キャスト	CAST
1	138.340	48.117	16	55-207	カイル・デュナミス	Kyle Dunamis
2	138.926	48.150	19	74-157	福山 潤	Jun Fukuyama
3	140.272	48.150	16	56-106	リアラ	Reala
4	140.832	47.983	19	74-183	柚木 涼香	Ryoka Yuzuki
5	142.139	47.883	18	56-202	ロニ・デュナミス	Loni Dunamis
6	142.748	47.900	19	74-157	関 俊彦	Toshihiko Seki
7	144.064	47.900	18	57-152	ジューダス	Judas
8	144.686	47.939	18	74-157	緑川 光	Hikaru Midorikawa
9	146.014	47.933	17	55-221	ナナリー・フレッチ	Nanaly Fletcher
10	146.603	47.782	19	73-209	川上 とも子	Tomoko Kawakami
11	147.957	47.983	17	56-270	ハロルド・ベルセリオス	Harold Berselius
12	148.539	47.715	18	74-183	平松 晶子	Akiko Hiramatsu
13	149.892	48.117	17	56-238	ルーティ・カトレット	Rutee Katrea
14	150.486	48.150	19	74-183	今井 由香	Yuka Imai
15	151.822	48.150	17	56-204	スタン・エルロン	Stahn Aileron
16	152.417	48.150	18	74-157	関 智一	Tomokazu Seki
17	153.735	48.097	17	56-205	フィリア・フィリス	Philia Felice
18	154.334	48.150	19	74-209	井上 喜久子	Kikuko Inoue
19	155.644	48.042	17	56-256	ウッドロウ・ケルヴィン	Woodrow Kelvin
20	156.255	48.167	19	74-158	速水 奨	Show Hayami
21	157.586	48.150	17	56-104	リリス	Lilith
22	158.201	48.300	18	74-183	沢口 りえ	Rie Sawaguchi
23	159.488	48.267	18	56-149	ディムロス	Dymlos
24	160.100	48.300	19	74-209	置鮎 龍太郎	Ryotaro Okiayu
25	161.430	48.333	17	56-149	アトワイト	Atwight
26	162.030	48.450	19	74-209	宇和川 恵美	Emi Uwagawa
27	163.339	48.300	17	56-148	クレメンテ	Clemente
28	163.939	48.383	19	74-209	八奈見 乗二	Joji Yanami
29	165.252	48.250	16	56-134	カーレル	Karell
30	165.836	48.150	18	74-183	飛田 展男	Nobuo Tobita
31	167.172	48.167	16	57-168	シャルティエ	Chaltier
32	167.752	48.145	18	74-183	石川 英朗	Hideo Ishikawa
33	169.083	48.133	17	55-163	イクティノス	Igtenos
34	169.668	48.097	19	74-184	松野 太紀	Taiki Matsuno
35	171.002	48.133	17	56-125	リトラー	Raiker
36	171.571	47.842	19	74-184	遠藤 守哉	Moriya Endo
37	172.926	48.150	17	56-143	ミクトラン	Kronos
38	173.527	48.167	18	74-208	堀川 りょう	Ryo Horikawa
39	174.826	48.017	18	56-239	カイル（子供時代）	Kyle (child)
40	175.428	48.050	19	74-183	嶋方 淳子	Junko Shimakata
41	176.785	47.873	14	56-93	ルー	Rue
42	177.340	47.833	19	74-209	鉄砲塚 葉子	Yoko Teppozuka
43	178.686	47.903	16	56-110	リムル	Rhym
44	179.266	47.833	19	74-181	雪乃 五月	Satsuki Yukino
45	180.574	47.709	18	56-115	ガープ	Gaap
46	181.202	47.917	19	73-183	菅原 淳一	Junichi Sugawara
47	182.519	47.983	18	56-211	マグナディウエス	Magnadeus
48	183.153	48.117	19	74-183	千葉 一伸	Kazunobu Chiba
49	184.466	48.150	18	56-274	サブノック・ダンタリオン	Sabnock Dantalion
50	185.076	48.133	19	74-183	長嶝 高士	Takashi Nagasako
51	186.399	48.083	18	56-123	街の人	Townspeople
52	187.000	48.133	19	74-209	瀧本 富士子	Fujiko Takimoto
53	188.319	48.117	18	56-102	船長	Captain
54	188.926	48.150	19	74-158	大川 透	Toru Okawa
55	190.256	48.150	16	56-153	エルレイン	Elrane
56	190.847	48.217	19	74-183	榊原 良子	Yoshiko Sakakibara
57	192.163	48.350	18	56-270	バルバトス・ゲーティア	Barbatos Goetia
58	192.777	48.350	19	74-183	若本 規夫	Norio Wakamoto
59	194.108	48.400	17	56-166	フォルトゥナ	Fortuna
60	194.693	48.303	18	74-183	島津 冴子	Saeko Shimazu
61	199.877	48.150	16	38-215	キャラクターデザイン	CHARACTER DESIGN
62	200.461	48.150	19	56-233	いのまたむつみ	Mutsumi Inomata
63	205.255	48.167	18	37-156	テーマソング	THEME SONG
64	205.863	48.150	20	50-290	“key to my heart”	KEEP
65	207.174	48.117	17	45-88	作詞	Lyrics
66	207.747	48.115	19	65-174	倉木 麻衣	Mai Kuraki
67	209.035	47.917	17	46-87	作曲	Composition
68	209.445	48.083	19	65-174	大野 愛果	Aika Ohno
69	210.742	47.861	17	45-87	編曲	Arrangement
70	211.344	47.867	18	64-228	Cybersound	KEEP
71	212.675	47.897	16	46-128	Song by	KEEP
72	213.207	47.850	19	65-175	倉木 麻衣	Mai Kuraki
73	214.506	47.576	17	45-88	制作	Production
74	215.142	48.100	17	64-227	GIZA studio	KEEP
75	215.960	48.438	8	112-146	(GIZA logo)	KEEP
76	216.266	48.650	22	94-166	(GIZA logo)	KEEP
77	216.778	48.917	20	73-185	(GIZA logo)	KEEP
78	222.544	48.150	18	38-222;247-322	“WOLF TEAM” STAFF	KEEP
79	223.445	48.150	17	49-234	トータルディレクション	Total Direction
80	224.038	48.300	19	66-174	菊池 栄二	Eiji Kikuchi
81	224.936	48.333	17	46-151	プランニング	Planning
82	225.539	48.400	18	66-175	石塚 和也	Kazuya Ishizuka
83	226.411	48.300	17	47-208	システムプログラム	System Program
84	227.016	48.333	18	66-174	石沢 隆一	Ryuichi Ishizawa
85	227.907	48.450	17	46-190	バトルプログラム	Battle Program
86	228.487	48.333	19	66-174	有働 龍郎	Tatsuro Udo
87	229.379	48.350	17	46-265	バトルサポートプログラム	Battle Support Program
88	229.960	48.300	19	65-174	遠藤 豊和	Toyokazu Endo
89	230.861	48.300	17	46-249	バトルシステムサポート	Battle System Support
90	231.441	48.283	19	65-174;216-323	安部 昌宏 / 田中 成昌	Masahiro Abe / Narimasa Tanaka?
91	232.318	48.150	17	46-220	2Dマッププログラム	2D Map Program
92	232.905	48.067	19	65-174	木村 敏浩	Toshihiro Kimura
93	233.800	48.117	17	45-220	フィールドプログラム	Field Program
94	234.396	48.150	19	66-174	長沢 岳仁	Takehito Nagasawa
95	235.292	48.150	17	46-203	メニュープログラム	Menu Program
96	235.884	48.167	19	65-174	遠藤 豊和	Toyokazu Endo
97	236.773	48.042	17	47-246	シナリオスクリプト演出	Scenario Script Direction
98	237.357	48.050	19	65-174	鈴木 健一	Kenichi Suzuki
99	238.276	48.167	17	47-248	シナリオスクリプト作成	Scenario Scripting
100	238.850	48.117	19	66-174	鈴木 宏之	Hiroyuki Suzuki
101	239.752	48.145	17	47-275	シナリオスクリプトサポート	Scenario Script Support
102	240.339	48.150	19	65-174;216-297	遠藤 豊和 / 田中 了	Toyokazu Endo / Ryo Tanaka
103	240.942	48.000	19	66-175;215-324	高見 一夫 / 澤田 信行	Kazuo Takami / Nobuyuki Sawada
104	241.843	48.000	17	46-259	マップコンセプトデザイン	Map Concept Design
105	242.452	48.033	18	66-147	田中 了	Ryo Tanaka
106	243.326	47.850	17	46-249	2Dマップディレクション	2D Map Direction
107	243.908	47.833	19	65-200;242-324	沢田石 靖之 / 寺尾 剛	Yasuyuki Sawadaishi / Tsuyoshi Terao
108	244.518	47.576	18	66-201	沢田石 亜紀	Aki Sawadaishi
109	245.431	47.933	17	46-227	2Dマップグラフィック	2D Map Graphics
110	246.024	47.917	19	65-200;241-324	沢田石 靖之 / 寺尾 剛	Yasuyuki Sawadaishi / Tsuyoshi Terao
111	246.637	47.897	19	66-201;241-350	沢田石 亜紀 / 神原 雄二	Aki Sawadaishi / Yuji Kanbara
112	247.260	47.917	19	65-175;240-349	湯澤 那有 / 堀田 正人	Nayu Yuzawa / Masato Hotta
113	247.880	48.000	19	65-200;241-350	河本 健太郎 / 高木 昌史	Kentaro Kawamoto / Masashi Takagi
114	248.498	47.983	19	66-201;241-350	久保田 織恵 / 鴇田 春美	Orie Kubota / Harumi Tokita
115	249.130	48.167	19	65-201;240-324	佐藤 まゆみ / 牧野 静	Mayumi Sato / Shizuka Makino
116	249.737	48.117	19	65-201;242-349	善如寺 文恵 / 日出 浩二	Fumie Zennyoji / Koji Hinode
117	250.355	48.150	19	66-175;240-350	馬場 久充 / 今井 貞徹	Hisamitsu Baba / Sadatetsu Imai?
118	250.973	48.167	19	65-148;240-348	大塚 梢 / 宮崎 伸周	Kozue Otsuka / Nobuchika Miyazaki?
119	251.571	47.879	19	65-200;241-350	松田 理恵子 / 川島 浩二	Rieko Matsuda / Koji Kawashima
120	252.215	48.117	19	65-175;244-353	荒川 健治 / 小野 一行	Kenji Arakawa / Kazuyuki Ono
121	253.111	48.133	17	46-284	バトルフィールドグラフィック	Battle Field Graphics
122	253.697	48.097	19	65-174;244-327	鹿沼 宣雄 / 中村 綾	Nobuo Kanuma / Aya Nakamura
123	254.319	48.117	19	65-200	大月 亜由美	Ayumi Otsuki
124	255.213	48.167	17	46-361	キャラクターグラフィックディレクション	Character Graphics Direction
125	255.795	48.050	19	66-174	後藤 恵一	Keiichi Goto
126	256.701	48.152	17	46-304	バトルキャラクターグラフィック	Battle Character Graphics
127	257.292	48.150	19	65-174;234-317	後藤 恵一 / 新井 允	Keiichi Goto / Makoto Arai
128	257.922	48.250	18	66-196	上野 かおり	Kaori Ueno
129	258.812	48.317	17	46-289	バトルモンスターグラフィック	Battle Monster Graphics
130	259.404	48.350	19	65-174;234-343	松尾 博史 / 渡部 智子	Hiroshi Matsuo / Tomoko Watanabe
131	260.017	48.317	18	65-148	杉本 学	Manabu Sugimoto
132	260.920	48.450	17	45-334	フィールドキャラクターグラフィック	Field Character Graphics
133	261.492	48.333	19	65-174;225-334	五反 葉子 / 伊藤 研一	Yoko Gotan / Kenichi Ito
134	262.115	48.450	19	66-174;225-334	常見 優妃 / 斎藤 雄太	Yuki Tsunemi / Yuta Saito
135	262.712	48.291	19	65-174	竹崎 英公	Hidemasa Takezaki?
136	263.604	48.103	16	46-336	3Dフィールドマップディレクション	3D Field Map Direction
137	264.197	48.350	19	65-201	大豆生田 進	Susumu Omameuda
138	265.085	48.200	17	46-292	3Dフィールドマップデザイン	3D Field Map Design
139	265.660	48.097	19	65-200;241-351	大豆生田 進 / 寺田 美穂	Susumu Omameuda / Miho Terada
140	266.272	48.150	19	65-174	芳賀 正寿	Masatoshi Haga
141	267.165	48.117	17	46-225	エフェクトグラフィック	Effect Graphics
142	267.759	48.150	19	65-174	尾崎 省之	Yoshiyuki Ozaki?
143	268.644	48.042	17	45-206	サウンドプログラム	Sound Program
144	269.244	48.100	19	66-174	池上 修司	Shuji Ikegami
145	270.144	48.117	16	46-259	ミュージックコンポーザー	Music Composers
146	270.731	48.145	19	65-149;209-317	桜庭 統 / 田村 信二	Motoi Sakuraba / Shinji Tamura
147	271.644	48.042	16	46-199	サウンドエフェクト	Sound Effects
148	272.215	48.117	19	65-175	堀口 篤志	Atsushi Horiguchi
149	273.132	48.133	16	45-208	スペシャルサンクス	Special Thanks
150	273.701	48.152	19	65-148;190-299	新井 武 / 小名 竜也	Takeshi Arai / Tatsuya Ona
151	274.319	48.117	19	66-148	久野 理	Osamu Kuno?
152	277.376	47.917	17	37-230	CGムービースタッフ	CG MOVIE STAFF
153	278.216	47.917	17	45-354	CGムービープロダクトマネージャー	CG Movie Product Manager
154	278.805	47.867	18	65-174	宮本 一夫	Kazuo Miyamoto
155	279.706	47.855	16	45-273	CGムービーディレクション	CG Movie Direction
156	280.291	47.850	19	65-148	清水 修	Osamu Shimizu
157	281.213	47.950	16	46-137	デザイナー	Designers
158	281.800	48.033	19	65-175;233-343	荒川 健治 / 川島 浩二	Kenji Arakawa / Koji Kawashima
159	282.415	47.983	19	66-174;234-343	小野 一行 / 北原 信孝	Kazuyuki Ono / Nobutaka Kitahara
160	283.050	48.167	19	65-175;234-343	是村 哲哉 / 野村 篤史	Tetsuya Koremura / Atsushi Nomura
161	283.958	48.133	16	45-200	CGムービー制作	CG Movie Production
162	284.802	48.100	19	65-211;238-364	有限会社銀河 Ginga Inc.	Ginga Inc.
163	287.863	48.150	17	39-186	シナリオスタッフ	SCENARIO STAFF
164	288.695	48.055	16	47-243	シナリオプロデューサー	Scenario Producer
165	289.276	48.033	19	65-148	重馬 敬	Kei Shigema
166	290.193	48.167	17	47-219	シナリオディレクター	Scenario Director
167	290.785	48.217	18	65-174	武田 知浩	Tomohiro Takeda
168	291.694	48.230	16	46-237	メインシナリオライター	Main Scenario Writer
169	292.290	48.383	18	66-246	はせべ たかひろ	Takahiro Hasebe
170	293.205	48.383	17	49-199	シナリオライター	Scenario Writers
171	293.789	48.333	19	66-174;234-344	田沢 大典 / 奥村 卓也	Daisuke Tazawa? / Takuya Okumura
172	294.408	48.367	19	65-174	栗山 勝行	Katsuyuki Kuriyama
173	295.323	48.467	17	47-209	シナリオ制作進行	Scenario Production Management
174	295.879	48.300	19	65-174;234-343	矢崎 多聞 / 鈴木 博久	Tamon Yazaki / Hirohisa Suzuki
175	296.793	48.352	16	46-176	ストーリー協力	Story Cooperation
176	297.370	48.383	19	66-174;234-343	火野 貴志 / 実弥島 巧	Takashi Hino / Takumi Miyajima
177	298.260	48.217	17	47-160	シナリオ制作	Scenario Production
178	298.822	48.150	19	67-278	シナリオ工房 月光	Scenario Studio Gekko
179	302.292	48.000	18	39-243	レコーディングスタッフ	RECORDING STAFF
180	303.215	48.117	17	46-135	音響監督	Sound Directors
181	303.794	48.150	19	65-148;208-292	大熊 昭 / 井澤 基	Akira Okuma / Motoi Izawa
182	304.701	48.152	17	45-143	制作デスク	Production Desk
183	305.278	48.117	19	65-174;208-342	加藤 和美 / 山口 さやか	Kazumi Kato / Sayaka Yamaguchi
184	306.186	48.167	17	45-164	録音スタジオ	Recording Studio
185	306.761	48.100	18	66-242	ＡＰＵスタジオ	APU Studio
186	307.665	48.024	16	46-88	整音	Sound Mixing
187	308.247	48.017	19	65-175	大城 久典	Hisanori Oshiro
188	309.155	47.950	16	45-88	効果	Sound Effects
189	309.723	47.873	19	65-174	北方 将実	Masami Kitakata
190	310.204	47.983	17	67-351	（フィズ・サウンド・クリエイション）	(Fizz Sound Creation)
191	311.078	47.900	17	46-135	録音制作	Recording Production
192	311.649	47.903	18	65-348	オーディオ・プランニング・ユー	Audio Planning U
193	315.184	47.967	17	37-325	アニメーションムービースタッフ	ANIMATION MOVIE STAFF
194	316.047	48.167	17	46-295	アニメーションプロデューサー	Animation Producer
195	316.617	47.982	19	65-174	寺川 英和	Hidekazu Terakawa
196	317.536	48.117	17	46-88	監督	Director
197	318.111	48.117	19	65-174	西村 博之	Hiroyuki Nishimura
198	319.029	48.167	16	45-120	絵コンテ	Storyboards
199	319.577	47.836	19	65-194;236-344	本郷 みつる / 西村 博之	Mitsuru Hongo / Hiroyuki Nishimura
200	320.506	48.167	16	45-348	アニメーションキャラクターデザイン	Animation Character Design
201	320.908	48.250	17	46-135	作画監督	Animation Director
202	321.482	48.150	19	66-174	松竹 徳幸	Noriyuki Matsutake
203	322.382	48.150	17	46-183	作画監督補佐	Assistant Animation Director
204	322.967	48.167	19	66-174	中嶋 敦子	Atsuko Nakajima
205	323.889	48.217	16	46-88	原画	Key Animation
206	324.461	48.250	19	65-174;234-344	海谷 敏久 / 斎藤 卓也	Toshihisa Kaiya / Takuya Saito
207	325.080	48.350	19	65-175;233-317	宮澤 康紀 / 橘 秀樹	Yasunori Miyazawa / Hideki Tachibana
208	325.680	48.200	19	66-175;234-343	中嶋 敦子 / 河口 俊夫	Atsuko Nakajima / Toshio Kawaguchi
209	326.312	48.417	19	65-174;234-317	新井 浩一 / 松島 晃	Koichi Arai / Akira Matsushima
210	326.922	48.400	19	67-175;236-344	伊藤 嘉之 / 関野 昌弘	Yoshiyuki Ito / Masahiro Sekino
211	327.534	48.417	19	66-174;234-343	田中 雄一 / 鈴木 博文	Yuichi Tanaka / Hirofumi Suzuki
212	328.136	48.333	19	66-200;233-342	西田 亜沙子 / 高橋 英樹	Asako Nishida / Hideki Takahashi
213	328.764	48.450	19	66-174;235-317	久保田 誓 / 山田 誠	Chikashi Kubota / Makoto Yamada
214	329.355	48.300	19	66-174;234-343	中村 章子 / 西村 博之	Akiko Nakamura / Hiroyuki Nishimura
215	330.268	48.350	17	46-136	美術監督	Art Director
216	330.841	48.283	19	66-149	松岡 聡	Satoshi Matsuoka
217	331.739	48.200	17	46-88	背景	Backgrounds
218	332.294	48.050	19	66-149;208-317	松岡 聡 / 吉崎 正樹	Satoshi Matsuoka / Masaki Yoshizaki
219	333.213	48.167	17	46-136	動画検査	In-between Check
220	333.794	48.150	18	65-200	野上 麻衣子	Maiko Nogami
221	334.710	48.145	16	46-88	動画	In-between Animation
222	335.318	48.150	13	53-207	Production I.G	KEEP
223	335.850	48.117	19	65-200;233-341	三田 由起子 / 秋山 一則	Yukiko Mita / Kazunori Akiyama
224	336.466	48.150	19	66-200;233-342	山本 真理子 / 佐原 史哲	Mariko Yamamoto / Fumiaki Sahara?
225	337.076	48.133	19	65-175;234-344	舟橋 幸江 / 酒井 怜子	Yukie Funahashi / Reiko Sakai
226	337.692	48.152	19	65-200;233-342	新家 由貴男 / 黒岩 裕美	Yukio Shinke / Hiromi Kuroiwa
227	338.297	48.033	19	65-175;234-343	菊地 勝也 / 辻 理恵子	Katsuya Kikuchi / Rieko Tsuji
228	338.925	48.167	19	66-174;234-343	中川 夕美 / 松本 圭太	Yumi Nakagawa / Keita Matsumoto
229	339.529	48.067	19	65-175;234-343	塩谷 直義 / 菅田 朋子	Naoyoshi Shiotani / Tomoko Sugata
230	340.151	48.167	19	65-200;232-341	長谷川 和世 / 横田 晋一	Kazuyo Hasegawa / Shinichi Yokota
231	340.756	48.033	19	66-174;234-343	馬場 絵理 / 大野 大樹	Eri Baba / Daiki Ono
232	341.367	48.017	19	65-174;235-343	高橋 瑞香 / 内海 朋子	Mizuka Takahashi / Tomoko Utsumi
233	341.982	47.983	19	66-200	小松田 大全	Daizen Komatsuda
234	342.886	47.867	17	53-128	I.G新潟	I.G Niigata
235	343.464	47.917	19	66-174;234-343	内藤 弘賢 / 斎藤 言栄	Hiromasa Naito? / Kotoe Saito?
236	344.075	47.833	19	65-174;234-344	木下 美香 / 工藤 一央	Mika Kinoshita / Kazuo Kudo
237	344.692	47.879	19	66-200;235-342	平出 差知予 / 日向 美香	Sachiyo Hiraide / Mika Hinata
238	345.308	47.833	19	65-174;234-343	礒末 高志 / 原住 寿美	Takashi Isosue? / Hisami Harazumi?
239	345.939	47.967	19	65-200	梅林 由加里	Yukari Umebayashi
240	346.525	47.600	19	66-226	市万田 千恵子	Chieko Ichimanda
241	347.606	47.836	18	65-164	亜細亜堂	Ajia-do
242	348.209	47.983	20	66-241	アニメスポット	Anime Spot
243	348.863	48.150	19	65-164	動画工房	Doga Kobo
244	349.474	48.117	19	66-294	スタジオたくらんけ	Studio Takuranke
245	350.110	48.167	18	68-254	J.C.STUFF	KEEP
246	350.679	48.085	19	66-304	ＯＨ プロダクション	OH Production
247	351.318	48.150	18	66-241	スタジオマーク	Studio Mark
248	351.946	48.167	18	66-215	ウォンバット	Wombat
249	352.535	47.770	18	66-241	アニメトロトロ	Anime Torotoro
250	353.151	48.167	19	66-243	スタジオライブ	Studio Live
251	353.767	48.117	19	66-268	スタジオディーン	Studio Deen
252	354.676	48.097	17	46-220	色彩設定・色指定	Color Design
253	355.257	48.117	19	65-200	井上 佳津枝	Katsue Inoue
254	356.161	48.100	16	45-109	仕上げ	Finishing
255	356.794	48.042	14	56-239	Production I.G	KEEP
256	357.362	48.150	19	66-200;233-342	下川 真里子 / 石川 貴芳	Mariko Shimokawa / Takayoshi Ishikawa
