# Monster Book / enemy names, artes and boss lines for the PSP battle-resource FPB members.
# jp<TAB>en<TAB>source. Located by pnvnd's env8 scanner (FPB 8378..9565, PAK->deflate->tod2-custom).
# sources: termbase=Lifebottle canonical; ps2=reused ToD2 PS2 enemy_translations; hand=transliteration.
-アイス・レクイエム-	-Ice Requiem-	ps2
-アジリティ・クロース-	-Agility Cloth-	ps2
-ウィズダムロッド-	-Wisdom Rod-	ps2
-ウィズダム・クラウン-	-Wisdom Crown-	ps2
-カルドロン-	-Cauldron-	ps2
-ショックスパイク-	-Shock Spike-	ps2
-シールドブレイク-	-Shield Break-	ps2
-スナイプ・リング-	-Snipe Ring-	ps2
-デスジャケット-	-Death Jacket-	ps2
-トム・ティット・トット-	-Tom Tit Tot-	ps2
-バリアチェンジ-	-Barrier Change-	ps2
-バーニング・サークル-	-Burning Circle-	ps2
-ファウル・ウェザー-	-Foul Weather-	ps2
-フォルトゥナ-	-Fortuna-	hand
-ベルセルク・ソード-	-Berserk Sword-	ps2
-ポイゾニック・フィールド-	-Poisonic Field-	ps2
-ラスティ・ネイル-	-Rusty Nail-	ps2
-リアファイル-	-Rear File-	ps2
-ルーン・アルギズ-	-Rune Algiz-	ps2
-ルーン・ウルズ-	-Rune Uruz-	ps2
-ロスト・セラフィ-	-Lost Seraph-	ps2
-ヴェノムバイト-	-Venom Bite-	ps2
-不断のパストラル-	-Endless Pastoral-	ps2
-必中のフーガ-	-Sure Fugue-	ps2
-竜脈-	-Vein-	ps2
-賢者の石-	-Sage Gem-	ps2
「いつまで術に頼るか！！」	Still leaning on artes?!	ps2
「アイテムなぞ使ってんじゃねえ！」	Don't you dare use items!	ps2
「リザレクション・・？退屈な奴らだ」	Resurrection...? How tiresome.	ps2
「俺の背後に立つんじゃねえ！」	Don't stand behind me!	ps2
「回復晶術だと？貧弱過ぎるわ！」	Healing artes? How feeble!	ps2
「情けをかけてやろう」	I shall show mercy.	ps2
「男に後退の二文字はねえ！」	Real men never retreat!	ps2
「縮こまってんじゃねえ！」	Quit cowering!	ps2
「苦しむヒマを与えぬも慈悲か」	No time to suffer. A mercy.	ps2
「術に頼るかザコどもが！」	Relying on artes, trash?	ps2
「貴様の＜時＞を頂く」	Your time is mine.	ps2
「軟弱者は消えうせろ！」	Weaklings, begone!	ps2
これぞ我が奥義・三連殺	My secret: Triple Kill	ps2
アイスエレメンタル	Ice Elemental	hand
アエロー	Aello	hand
アクアブレス	Aqua Breath	ps2
アクアンズ	Aquans	hand
アクババ	Akbaba	hand
アダマントータス	Adamantoise	hand
アディショナルレーザー	Additional Laser	ps2
アフターカーニバル	After Carnival	ps2
アルケニー	Arachne	hand
アルジャーノン	Algernon	hand
アルラウネ	Alraune	termbase
アンドラス	Andras	hand
アヴェンジャー	Avenger	hand
アーシーズ	Earthys	hand
インプ	Imp	hand
インペイラー	Impaler	hand
ウィザード	Wizard	hand
ウィッチ	Witch	termbase
ウィルオウィスプ	Will-o-Wisp	hand
ウェアウルフ	Werewolf	hand
ウェアラット	Wererat	hand
ウェンディゴ	Wendigo	hand
エティン	Ettin	hand
エニグマ	Enigma	hand
エマージェンシー	Emergency	ps2
エリアルナイト	Aerial Knight	hand
エルレイン	Elraine	hand
エレメントムース	Element Moose	hand
エンジェルナイト	Angel Knight	hand
エンチャント・ダメージ	Enchant Damage	ps2
オウドゴッギー	Oud Goggy	hand
オウルベア	Owlbear	hand
オキュペテー	Ocypete	hand
オンルッカー	Onlooker	hand
オーガ	Ogre	termbase
オークロット	Oakrot	termbase
カウンタ・マジック	Counter Magic	ps2
カーカー	Cawker	termbase
ガリアンソード	Galleon Sword	termbase
ガルガンチュア	Gargantua	hand
ガルム	Garm	hand
ガーゴイル	Gargoyle	termbase
ガープ	Gaap	hand
キャンサーシザー	Cancer Scissor	hand
ギガスクリーム	Giga Scream	ps2
ギガントード	Gigantoad	hand
ギャザー	Gazer	hand
ギーク	Geek	hand
クラムボン	Clambon	hand
クラーケン	Kraken	termbase
クレリック	Cleric	hand
グラシャラボラス	Glasya-Labolas	hand
グレムリン	Gremlin	hand
グレンデル	Grendel	hand
グレートオーク	Great Oak	hand
ケライノー	Celaeno	hand
ケンタウロス	Centaur	hand
コカドリーユ	Cocadrille	termbase
コボルト	Kobold	hand
コープスリバイバー	Corpse Reviver	hand
コーラルクラブ	Coral Crab	hand
ゴッドハンド	God Hand	hand
ゴーム	Gorm	hand
サブノック	Sabnock	hand
サンドウォーム	Sand Worm	hand
サーヴァント	Servant	hand
ザグナル	Zagnal	hand
ショヴスリ	Shovsri	hand
シースラッグ	Sea Slug	termbase
シーチキンプレッシャー	Sea Chicken Pressure	ps2
シーモンク	Sea Monk	hand
ジェノサイドブレイバー	Genocide Braver	ps2
ジェントルマン	Gentleman	hand
ジャンヴァバン	Jean Vaban	hand
ジュエルビースト	Jewel Beast	hand
ジョープレッシャー	Jaw Pressure	ps2
スクリューアイ	Screw Eye	ps2
スケルトン	Skeleton	termbase
スティージ	Stirge	hand
ストラグネイト	Stagnate	ps2
ストーアウォーム	Stoa Worm	hand
